PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467318,12/20/19,1/12/20,314312,4/11/20 8:00,4/14/20 8:00
22467319,12/20/19,1/12/20,314309,4/11/20 8:00,4/14/20 8:00
22467320,12/20/19,1/12/20,314304,4/11/20 8:00,4/14/20 8:00
22467321,12/20/19,1/12/20,314306,4/11/20 8:00,4/14/20 8:00
22467323,12/20/19,1/12/20,314307,4/11/20 8:00,4/14/20 8:00
22467324,12/20/19,1/12/20,314316,4/11/20 8:00,4/14/20 8:00
22467325,12/20/19,1/12/20,314318,4/11/20 8:00,4/14/20 8:00
22467327,12/20/19,1/12/20,313786,4/11/20 8:00,4/14/20 8:00
22467328,12/20/19,1/12/20,314320,4/11/20 8:00,4/14/20 8:00
22467329,12/20/19,1/12/20,313785,4/11/20 8:00,4/14/20 8:00
22467330,12/20/19,1/12/20,314342,4/11/20 8:00,4/14/20 8:00
22467331,12/20/19,1/12/20,314343,4/11/20 8:00,4/14/20 8:00
22467332,12/20/19,1/12/20,313787,4/11/20 8:00,4/14/20 8:00
22467333,12/20/19,1/12/20,313784,4/11/20 8:00,4/14/20 8:00
22467334,12/20/19,1/12/20,313783,4/11/20 8:00,4/14/20 8:00
22467335,12/20/19,1/12/20,314419,4/11/20 8:00,4/14/20 8:00
22467336,12/20/19,1/12/20,314420,4/11/20 8:00,4/14/20 8:00
22467337,12/20/19,1/12/20,314422,4/11/20 8:00,4/14/20 8:00
22467338,12/20/19,1/12/20,314423,4/11/20 8:00,4/14/20 8:00
22467339,12/20/19,1/12/20,314424,4/11/20 8:00,4/14/20 8:00
22467340,12/20/19,1/12/20,314425,4/11/20 8:00,4/14/20 8:00
22467341,12/20/19,1/12/20,314426,4/11/20 8:00,4/14/20 8:00
22467342,12/20/19,1/12/20,314427,4/11/20 8:00,4/14/20 8:00
22467343,12/20/19,1/12/20,314428,4/11/20 8:00,4/14/20 8:00
22467344,12/20/19,1/12/20,314429,4/11/20 8:00,4/14/20 8:00
22467345,12/20/19,1/12/20,314430,4/11/20 8:00,4/14/20 8:00
22467346,12/20/19,1/12/20,314431,4/11/20 8:00,4/14/20 8:00
22467347,12/20/19,1/12/20,314399,4/11/20 8:00,4/14/20 8:00
