event_id,start_date,end_date,
315816,3/19/20 8:00,3/22/20 8:00,
314140,3/19/20 8:00,3/22/20 8:00,
315819,3/19/20 8:00,3/22/20 8:00,
315820,3/19/20 8:00,3/22/20 8:00,
315821,3/19/20 8:00,3/22/20 8:00,
314141,3/19/20 8:00,3/22/20 8:00,
315825,3/19/20 8:00,3/22/20 8:00,
314142,3/19/20 8:00,3/22/20 8:00,
314143,3/19/20 8:00,3/22/20 8:00,
315826,3/19/20 8:00,3/22/20 8:00,
314144,3/19/20 8:00,3/22/20 8:00,
314145,3/19/20 8:00,3/22/20 8:00,
315829,3/19/20 8:00,3/22/20 8:00,
315831,3/19/20 8:00,3/22/20 8:00,
315833,3/19/20 8:00,3/22/20 8:00,
315835,3/19/20 8:00,3/22/20 8:00,
315837,3/19/20 8:00,3/22/20 8:00,
315838,3/19/20 8:00,3/22/20 8:00,
315840,3/19/20 8:00,3/22/20 8:00,
315842,3/19/20 8:00,3/22/20 8:00,
315845,3/19/20 8:00,3/22/20 8:00,
315848,3/19/20 8:00,3/22/20 8:00,
315851,3/19/20 8:00,3/22/20 8:00,
315854,3/19/20 8:00,3/22/20 8:00,
315857,3/19/20 8:00,3/22/20 8:00,
315861,3/19/20 8:00,3/22/20 8:00,
315862,3/19/20 8:00,3/22/20 8:00,
315864,3/19/20 8:00,3/22/20 8:00,
316775,3/19/20 8:00,3/22/20 8:00,
315870,3/19/20 8:00,3/22/20 8:00,
315872,3/19/20 8:00,3/22/20 8:00,
315873,3/19/20 8:00,3/22/20 8:00,
315877,3/19/20 8:00,3/22/20 8:00,
315878,3/19/20 8:00,3/22/20 8:00,
315879,3/19/20 8:00,3/22/20 8:00,
315880,3/19/20 8:00,3/22/20 8:00,
315881,3/19/20 8:00,3/22/20 8:00,
315882,3/19/20 8:00,3/22/20 8:00,
315883,3/19/20 8:00,3/22/20 8:00,
315884,3/19/20 8:00,3/22/20 8:00,
315885,3/19/20 8:00,3/22/20 8:00,
315886,3/19/20 8:00,3/22/20 8:00,
315887,3/19/20 8:00,3/22/20 8:00,
315888,3/19/20 8:00,3/22/20 8:00,
315889,3/19/20 8:00,3/22/20 8:00,
